zaman,alis,satis
2024-05-02,2355.4947,2469.6641
2024-05-03,2349.0957,2462.9556
2024-05-04,2338.4868,2504.2041
2024-05-05,2338.497,2504.2134
2024-05-06,2383.2355,2500.2689
2024-05-07,2321.6197,2436.6175
2024-05-08,2312.5007,2426.9432
2024-05-09,2320.984,2435.9396
2024-05-10,2359.3488,2476.206
2024-05-11,2308.7737,2572.1768
2024-05-12,2308.7795,2572.1831
2024-05-13,2348.2646,2464.1597
2024-05-14,2359.6663,2476.1674
2024-05-15,2362.0286,2478.7836
2024-05-16,2380.2635,2497.9048
2024-05-17,2403.8069,2522.6012
2024-05-18,2399.5732,2614.3368
2024-05-19,2399.1856,2614.7762
2024-05-20,2461.0514,2548.516
2024-05-21,2471.0554,2558.7821
2024-05-22,2452.4311,2539.5289
2024-05-23,2400.0508,2485.6104
2024-05-24,2373.5936,2457.9975
2024-05-25,2276.7089,2484.9218
2024-05-26,2276.7108,2484.9239
2024-05-27,2394.9983,2488.0486
2024-05-28,2397.3441,2489.8301
2024-05-29,2387.6318,2479.7064
2024-05-30,2392.1894,2484.4873
2024-05-31,2382.8685,2474.8431
2024-06-01,2274.7436,2482.9149
2024-06-02,2274.7209,2482.8899
2024-06-03,2374.6255,2466.2337
2024-06-04,2383.116,2474.9814
2024-06-05,2396.4227,2490.1014
2024-06-06,2405.2051,2498.2244
2024-06-07,2346.8681,2437.4952
2024-06-08,2241.1122,2463.2961
2024-06-09,2240.8044,2463.68
2024-06-10,2360.9582,2452.3755
2024-06-11,2366.3845,2457.6172
2024-06-12,2363.7924,2443.2154
2024-06-13,2350.0722,2429.3373
2024-06-14,2383.7169,2464.0072
2024-06-15,2301.3796,2523.33
2024-06-16,2301.3135,2523.238
2024-06-17,2299.2231,2512.7083
2024-06-18,2283.2237,2495.2783
2024-06-19,2284.5243,2496.9788
2024-06-20,2424.7083,2530.9059
2024-06-21,2406.0236,2511.5634
2024-06-22,2309.1738,2525.3829
2024-06-23,2308.8042,2525.7956
2024-06-24,2411.4448,2492.5502
2024-06-25,2410.2001,2491.1713
2024-06-26,2403.7182,2488.2508
2025-01-15,3018.3816,3110.57359
2025-01-16,3042.92053,3135.69417
2025-01-17,3032.16703,3125.51624
2025-01-18,2880.24391,3183.7396
2025-01-19,2880.24391,3183.7396
2025-01-20,3043.92913,3136.75256
2025-01-21,3074.14698,3168.01581
2025-01-22,3108.1394,3203.06382
2025-01-23,3087.51281,3181.78306
2025-01-24,3134.20283,3230.28612
2025-01-25,2981.02613,3272.26083
2025-01-26,2981.02613,3272.26083
2025-01-27,3116.14404,3211.28146
