zaman,kur,alis,satis
1741036862,USD,35.4678,37.4367
1741036862,EUR,37.1703,39.2374
1741036862,GBP,45.0335,47.5371
1741036862,XAU,3259.08,3478
1741036862,AUD,22.0574,23.2931
1741036862,DKK,4.9838,5.2608
1741036862,SEK,3.3656,3.5545
1741036862,CHF,39.5493,41.7727
1741036862,JPY,0.2374,0.2506
1741036862,CAD,24.4454,25.8113
1741036862,KWD,114.857,121.4687
1741036862,NOK,3.1646,3.3411
1741036862,SAR,9.4568,9.9823
1741037580,USD,35.4678,37.4367
1741037580,EUR,37.1703,39.2374
1741037580,GBP,45.0335,47.5371
1741037580,XAU,3259.08,3478
1741037580,AUD,22.0574,23.2931
1741037580,DKK,4.9838,5.2608
1741037580,SEK,3.3656,3.5545
1741037580,CHF,39.5493,41.7727
1741037580,JPY,0.2374,0.2506
1741037580,CAD,24.4454,25.8113
1741037580,KWD,114.857,121.4687
1741037580,NOK,3.1646,3.3411
1741037580,SAR,9.4568,9.9823
1741038179,USD,35.4678,37.4367
1741038179,EUR,37.1703,39.2374
1741038179,GBP,45.0335,47.5371
1741038179,XAU,3259.08,3478
1741038179,AUD,22.0574,23.2931
1741038179,DKK,4.9838,5.2608
1741038179,SEK,3.3656,3.5545
1741038179,CHF,39.5493,41.7727
1741038179,JPY,0.2374,0.2506
1741038179,CAD,24.4454,25.8113
1741038179,KWD,114.857,121.4687
1741038179,NOK,3.1646,3.3411
1741038179,SAR,9.4568,9.9823
1741038548,USD,35.4678,37.4367
1741038548,EUR,37.1703,39.2374
1741038548,GBP,45.0335,47.5371
1741038548,XAU,3259.08,3478
1741038548,AUD,22.0574,23.2931
1741038548,DKK,4.9838,5.2608
1741038548,SEK,3.3656,3.5545
1741038548,CHF,39.5493,41.7727
1741038548,JPY,0.2374,0.2506
1741038548,CAD,24.4454,25.8113
1741038548,KWD,114.857,121.4687
1741038548,NOK,3.1646,3.3411
1741038548,SAR,9.4568,9.9823
1741038903,USD,35.4678,37.4367
1741038903,EUR,37.1703,39.2374
1741038903,GBP,45.0335,47.5371
1741038903,XAU,3259.08,3478
1741038903,AUD,22.0574,23.2931
1741038903,DKK,4.9838,5.2608
1741038903,SEK,3.3656,3.5545
1741038903,CHF,39.5493,41.7727
1741038903,JPY,0.2374,0.2506
1741038903,CAD,24.4454,25.8113
1741038903,KWD,114.857,121.4687
1741038903,NOK,3.1646,3.3411
1741038903,SAR,9.4568,9.9823
1741041120,USD,35.4678,37.4367
1741041120,EUR,37.1703,39.2374
1741041120,GBP,45.0335,47.5371
1741041120,XAU,3259.08,3478
1741041120,AUD,22.0574,23.2931
1741041120,DKK,4.9838,5.2608
1741041120,SEK,3.3656,3.5545
1741041120,CHF,39.5493,41.7727
1741041120,JPY,0.2374,0.2506
1741041120,CAD,24.4454,25.8113
1741041120,KWD,114.857,121.4687
1741041120,NOK,3.1646,3.3411
1741041120,SAR,9.4568,9.9823
1741042144,USD,35.4678,37.4367
1741042144,EUR,37.1703,39.2374
1741042144,GBP,45.0335,47.5371
1741042144,XAU,3259.08,3478
1741042144,AUD,22.0574,23.2931
1741042144,DKK,4.9838,5.2608
1741042144,SEK,3.3656,3.5545
1741042144,CHF,39.5493,41.7727
1741042144,JPY,0.2374,0.2506
1741042144,CAD,24.4454,25.8113
1741042144,KWD,114.857,121.4687
1741042144,NOK,3.1646,3.3411
1741042144,SAR,9.4568,9.9823
1741042510,USD,35.4678,37.4367
1741042510,EUR,37.1703,39.2374
1741042510,GBP,45.0335,47.5371
1741042510,XAU,3259.08,3478
1741042510,AUD,22.0574,23.2931
1741042510,DKK,4.9838,5.2608
1741042510,SEK,3.3656,3.5545
1741042510,CHF,39.5493,41.7727
1741042510,JPY,0.2374,0.2506
1741042510,CAD,24.4454,25.8113
1741042510,KWD,114.857,121.4687
1741042510,NOK,3.1646,3.3411
1741042510,SAR,9.4568,9.9823
1741043578,USD,35.4678,37.4367
1741043578,EUR,37.1703,39.2374
1741043578,GBP,45.0335,47.5371
1741043578,XAU,3259.08,3478
1741043578,AUD,22.0574,23.2931
1741043578,DKK,4.9838,5.2608
1741043578,SEK,3.3656,3.5545
1741043578,CHF,39.5493,41.7727
1741043578,JPY,0.2374,0.2506
1741043578,CAD,24.4454,25.8113
1741043578,KWD,114.857,121.4687
1741043578,NOK,3.1646,3.3411
1741043578,SAR,9.4568,9.9823
1741044493,USD,35.4678,37.4367
1741044493,EUR,37.1703,39.2374
1741044493,GBP,45.0335,47.5371
1741044493,XAU,3259.08,3478
1741044493,AUD,22.0574,23.2931
1741044493,DKK,4.9838,5.2608
1741044493,SEK,3.3656,3.5545
1741044493,CHF,39.5493,41.7727
1741044493,JPY,0.2374,0.2506
1741044493,CAD,24.4454,25.8113
1741044493,KWD,114.857,121.4687
1741044493,NOK,3.1646,3.3411
1741044493,SAR,9.4568,9.9823
1741044870,USD,35.4678,37.4367
1741044870,EUR,37.1703,39.2374
1741044870,GBP,45.0335,47.5371
1741044870,XAU,3259.08,3478
1741044870,AUD,22.0574,23.2931
1741044870,DKK,4.9838,5.2608
1741044870,SEK,3.3656,3.5545
1741044870,CHF,39.5493,41.7727
1741044870,JPY,0.2374,0.2506
1741044870,CAD,24.4454,25.8113
1741044870,KWD,114.857,121.4687
1741044870,NOK,3.1646,3.3411
1741044870,SAR,9.4568,9.9823
1741045268,USD,35.4678,37.4367
1741045268,EUR,37.1703,39.2374
1741045268,GBP,45.0335,47.5371
1741045268,XAU,3259.08,3478
1741045268,AUD,22.0574,23.2931
1741045268,DKK,4.9838,5.2608
1741045268,SEK,3.3656,3.5545
1741045268,CHF,39.5493,41.7727
1741045268,JPY,0.2374,0.2506
1741045268,CAD,24.4454,25.8113
1741045268,KWD,114.857,121.4687
1741045268,NOK,3.1646,3.3411
1741045268,SAR,9.4568,9.9823
1741045628,USD,35.4678,37.4367
1741045628,EUR,37.1703,39.2374
1741045628,GBP,45.0335,47.5371
1741045628,XAU,3259.08,3478
1741045628,AUD,22.0574,23.2931
1741045628,DKK,4.9838,5.2608
1741045628,SEK,3.3656,3.5545
1741045628,CHF,39.5493,41.7727
1741045628,JPY,0.2374,0.2506
1741045628,CAD,24.4454,25.8113
1741045628,KWD,114.857,121.4687
1741045628,NOK,3.1646,3.3411
1741045628,SAR,9.4568,9.9823
1741048765,USD,35.4916,37.463
1741048765,EUR,37.1987,39.2687
1741048765,GBP,45.0388,47.5667
1741048765,XAU,3263.32,3482.53
1741048765,AUD,22.0509,23.287
1741048765,DKK,4.9872,5.2649
1741048765,SEK,3.3739,3.5643
1741048765,CHF,39.5582,41.7787
1741048765,JPY,0.2377,0.25094
1741048765,CAD,24.482,25.8437
1741048765,KWD,114.9339,121.554
1741048765,NOK,3.1653,3.3482
1741048765,SAR,9.4606,9.992
1741057472,USD,35.4392,37.4569
1741057472,EUR,37.1403,39.2586
1741057472,GBP,44.9582,47.5403
1741057472,XAU,3255.7,3474.39
1741057472,AUD,21.9723,23.2345
1741057472,DKK,4.98,5.2638
1741057472,SEK,3.3659,3.558
1741057472,CHF,39.5174,41.7952
1741057472,JPY,0.23729,0.25088
1741057472,CAD,24.4391,25.8395
1741057472,KWD,114.7643,121.5344
1741057472,NOK,3.1597,3.3413
1741057472,SAR,9.4492,9.9877
1741060073,USD,35.4402,37.4531
1741060073,EUR,37.1236,39.2434
1741060073,GBP,44.9523,47.528
1741060073,XAU,3259.8,3478.77
1741060073,AUD,21.98,23.2396
1741060073,DKK,4.9781,5.2613
1741060073,SEK,3.3641,3.5568
1741060073,CHF,39.5317,41.8003
1741060073,JPY,0.23763,0.25116
1741060073,CAD,24.4331,25.8244
1741060073,KWD,114.8046,121.5615
1741060073,NOK,3.1586,3.3396
1741060073,SAR,9.4495,9.9867
1741060552,USD,35.4488,37.4562
1741060552,EUR,37.1362,39.2503
1741060552,GBP,44.9739,47.5244
1741060552,XAU,3260.06,3479.04
1741060552,AUD,21.9747,23.2303
1741060552,DKK,4.9795,5.2618
1741060552,SEK,3.3652,3.5569
1741060552,CHF,39.5326,41.7944
1741060552,JPY,0.23772,0.2512
1741060552,CAD,24.4374,25.8247
1741060552,KWD,114.8327,121.5715
1741060552,NOK,3.1599,3.3404
1741060552,SAR,9.4492,9.9902
1741060919,USD,35.4456,37.4569
1741060919,EUR,37.1293,39.2473
1741060919,GBP,44.9663,47.5216
1741060919,XAU,3258.17,3477.03
1741060919,AUD,21.9727,23.2233
1741060919,DKK,4.9789,5.262
1741060919,SEK,3.3646,3.557
1741060919,CHF,39.529,41.7766
